City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Weligama,LK,2022-12-19 15:40:39,5.9667,80.4167,75.6,88,100,0.94
61,New Norfolk,AU,2022-12-19 15:45:13,-42.7826,147.0587,54.9,73,93,0.83
62,Dzilam Gonzalez,MX,2022-12-19 15:45:14,21.2833,-88.9333,82.53,62,83,8.43
63,Grand Forks,US,2022-12-19 15:45:14,47.9417,-97.4337,-4.07,77,75,6.91
64,Kakching,IN,2022-12-19 15:45:15,24.4833,93.9833,55.02,88,22,2.06
65,Pacific Grove,US,2022-12-19 15:40:24,36.6177,-121.9166,53.42,90,0,3.44
66,Teguise,ES,2022-12-19 15:45:15,29.0605,-13.564,70.02,53,0,0.0
67,Georgetown,MY,2022-12-19 15:45:15,5.4112,100.3354,77.95,90,20,1.14
68,Dikson,RU,2022-12-19 15:45:16,73.5069,80.5464,-17.25,91,83,2.71
69,Nebolchi,RU,2022-12-19 15:45:16,59.1239,33.3454,28.58,94,99,9.98
70,Abaza,RU,2022-12-19 15:45:17,52.655,90.0928,12.47,92,100,3.24
71,Hasaki,JP,2022-12-19 15:45:17,35.7333,140.8333,34.21,40,1,11.05
72,Jatibonico,CU,2022-12-19 15:45:17,21.9419,-79.17,83.1,47,17,9.75
73,Narsaq,GL,2022-12-19 15:45:18,60.9167,-46.05,8.82,66,0,7.67
74,Hobart,AU,2022-12-19 15:41:35,-42.8794,147.3294,55.26,85,100,3.44
75,Butaritari,KI,2022-12-19 15:45:18,3.0707,172.7902,81.32,79,91,16.93
76,Rabo De Peixe,PT,2022-12-19 15:45:19,37.8,-25.5833,66.27,98,40,14.97
77,Haines Junction,CA,2022-12-19 15:45:19,60.7522,-137.5108,-43.65,66,96,1.14
78,Rio Casca,BR,2022-12-19 15:43:05,-20.2261,-42.6508,72.52,94,100,2.39
79,Ambatofinandrahana,MG,2022-12-19 15:45:20,-20.55,46.8,65.68,85,46,1.97
80,Lavrentiya,RU,2022-12-19 15:45:20,65.5833,-171.0,15.35,74,79,6.02
81,Hilo,US,2022-12-19 15:45:21,19.7297,-155.09,75.27,85,0,3.44
82,Bathsheba,BB,2022-12-19 15:45:21,13.2167,-59.5167,84.81,86,40,20.71
83,Port Elizabeth,ZA,2022-12-19 15:40:58,-33.918,25.5701,73.69,74,20,16.11
84,Grand Gaube,MU,2022-12-19 15:45:22,-20.0064,57.6608,78.39,68,15,4.0
85,Atuona,PF,2022-12-19 15:45:22,-9.8,-139.0333,78.06,77,86,18.57
86,Torbay,CA,2022-12-19 15:45:22,47.6666,-52.7314,36.27,96,100,25.32
87,Thompson,CA,2022-12-19 15:45:23,55.7435,-97.8558,-16.44,69,100,9.22
88,Sungairaya,ID,2022-12-19 15:45:23,0.7,108.9,78.12,88,96,6.04
89,Saint-Joseph,RE,2022-12-19 15:45:24,-21.3667,55.6167,79.18,82,84,10.04
90,Kentau,KZ,2022-12-19 15:45:24,43.5206,68.5094,33.91,36,0,2.08
91,Bengkulu,ID,2022-12-19 15:46:25,-3.8004,102.2655,77.5,87,100,5.21
92,Viedma,AR,2022-12-19 15:46:25,-40.8135,-62.9967,85.55,25,97,6.15
93,Kuytun,RU,2022-12-19 15:46:25,54.3419,101.5036,10.87,88,100,10.67
94,Hofn,IS,2022-12-19 15:46:26,64.2539,-15.2082,30.22,64,100,21.85
95,Barrow,US,2022-12-19 15:46:26,71.2906,-156.7887,6.82,85,100,6.91
96,Avarua,CK,2022-12-19 15:46:27,-21.2078,-159.775,73.45,88,100,2.3
97,Edd,ER,2022-12-19 15:46:27,13.9297,41.6925,82.4,49,2,17.0
98,Kapaa,US,2022-12-19 15:46:27,22.0752,-159.319,75.18,90,100,5.75
99,Senhora Da Hora,PT,2022-12-19 15:46:28,41.1864,-8.6517,62.2,84,75,26.46
100,Chenghai,CN,2022-12-19 15:46:28,23.4632,116.768,48.11,87,0,2.24
101,Leningradskiy,RU,2022-12-19 15:46:29,69.3833,178.4167,6.64,84,14,9.31
102,Bredasdorp,ZA,2022-12-19 15:46:29,-34.5322,20.0403,68.9,48,31,15.39
103,Jamestown,US,2022-12-19 15:42:01,42.097,-79.2353,27.99,96,100,12.66
104,Balao,EC,2022-12-19 15:46:30,-2.9167,-79.8167,79.2,66,99,4.0
105,Zaraza,VE,2022-12-19 15:46:31,9.3503,-65.3245,89.82,41,99,7.47
106,Chokwe,MZ,2022-12-19 15:46:31,-24.5333,32.9833,82.74,55,86,10.33
107,Trinidad,BO,2022-12-19 15:46:31,-14.8333,-64.9,75.18,94,75,6.91
108,Dumabato,PH,2022-12-19 15:46:32,16.3167,121.7,67.42,99,100,3.53
109,Mosquera,CO,2022-12-19 15:46:32,4.7059,-74.2302,62.69,42,20,4.61
110,Goderich,CA,2022-12-19 15:46:32,43.7501,-81.7165,32.92,74,100,17.27
111,Ornskoldsvik,SE,2022-12-19 15:46:33,63.2909,18.7153,22.15,93,40,3.44
112,Laje,BR,2022-12-19 15:46:33,-10.1833,-40.9667,89.2,35,58,6.8
113,Lompoc,US,2022-12-19 15:46:33,34.6391,-120.4579,53.78,100,0,10.36
114,Abha,SA,2022-12-19 15:42:36,18.2164,42.5053,58.82,58,20,6.91
115,Ngunguru,NZ,2022-12-19 15:46:34,-35.6167,174.5,62.06,88,100,2.37
116,Saldanha,ZA,2022-12-19 15:46:34,-33.0117,17.9442,71.65,71,0,23.71
117,Vaini,TO,2022-12-19 15:46:35,-21.2,-175.2,77.16,94,20,5.75
118,Kamarion,GR,2022-12-19 15:46:35,36.8,25.8167,55.09,73,28,35.12
119,Berbera,SO,2022-12-19 15:46:36,10.4396,45.0143,77.68,61,30,9.33
120,Touros,BR,2022-12-19 15:46:36,-5.1989,-35.4608,85.95,57,5,13.11
121,Hami,CN,2022-12-19 15:46:36,42.8,93.45,20.86,50,51,2.26
122,Ponta Do Sol,PT,2022-12-19 15:46:37,32.6667,-17.1,71.01,94,98,10.6
123,Aklavik,CA,2022-12-19 15:46:37,68.2191,-135.0107,-29.2,75,0,5.75
124,Wanning,CN,2022-12-19 15:46:38,18.8003,110.3967,64.94,83,100,8.32
125,Sinnamary,GF,2022-12-19 15:46:38,5.3833,-52.95,75.29,95,100,10.38
126,Tabou,CI,2022-12-19 15:46:39,4.423,-7.3528,83.32,67,10,8.77
127,Fortuna,US,2022-12-19 15:46:39,40.5982,-124.1573,36.52,100,0,9.22
128,Merritt Island,US,2022-12-19 15:41:58,28.5392,-80.672,68.09,64,0,5.75
129,Mayo,US,2022-12-19 15:46:39,38.8876,-76.5119,39.11,55,0,12.66
130,Lebu,CL,2022-12-19 15:46:40,-37.6167,-73.65,61.12,65,100,8.39
131,Katsuura,JP,2022-12-19 15:46:40,35.1333,140.3,43.57,62,25,8.81
132,Longyearbyen,SJ,2022-12-19 15:46:41,78.2186,15.6401,13.84,67,75,12.66
133,Souillac,MU,2022-12-19 15:46:41,-20.5167,57.5167,77.2,71,38,11.68
134,Benton,US,2022-12-19 15:44:27,36.3334,-94.3335,41.29,54,100,11.5
135,Vigrestad,NO,2022-12-19 15:47:41,58.5667,5.7,42.58,83,98,30.91
136,Yabrud,SY,2022-12-19 15:47:42,33.9674,36.6574,46.22,47,0,2.84
