City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
254,Hervey bay,AU,71.49,overcast clouds,-25.2986,152.8535,Hervey Bay Hotel
256,Tarrafal,CV,77.79,scattered clouds,15.2833,-23.7667,King Fisher Resort
259,Praia,CV,77.54,clear sky,14.9215,-23.5087,Casa Sodadi
262,Dangriga,BZ,80.08,light rain,16.9692,-88.2321,Weyohan Hotel
264,Pisco,PE,78.85,clear sky,-13.7,-76.2167,La Portada
270,Santa cruz,BO,86.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
272,Ambon,ID,77.23,few clouds,-3.6954,128.1814,Hotel Hero
282,Ajijic,MX,77.95,clear sky,20.3,-103.2833,Villas de Ajijic
285,Davila,PH,74.39,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
289,Inhambane,MZ,75.69,scattered clouds,-23.865,35.3833,Hotel de Inhambane
294,San cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Terra Sur
298,Cabo san lucas,MX,78.62,few clouds,22.8909,-109.9124,Comfort Rooms
301,Dakar,SN,81.48,clear sky,14.6937,-17.4441,翁记小吃
308,Kahului,US,73.42,light rain,20.8947,-156.47,Maui Seaside Hotel
313,Pemba,MZ,81.3,broken clouds,-12.974,40.5178,Hotel Rafael
323,Geraldton,AU,75.61,overcast clouds,-28.7667,114.6,Ocean Centre Hotel
333,Chambas,CU,82.87,broken clouds,22.1928,-78.9136,Hotel Colón
340,Ciudad bolivar,VE,86.85,moderate rain,8.1222,-63.5497,Paoca
346,Cairns,AU,77.07,shower rain,-16.9167,145.7667,Cairns Queens Court Accommodation
353,Sangmelima,CM,72.39,overcast clouds,2.9333,11.9833,Hôtel l'Afamba
356,Caravelas,BR,78.39,heavy intensity rain,-17.7125,-39.2481,Pousada dos Navegantes
360,Angoche,MZ,77.0,moderate rain,-16.2325,39.9086,Hotel Quirimbas
370,Mahebourg,MU,77.25,scattered clouds,-20.4081,57.7,Grand Bel Air
373,Coxim,BR,81.18,scattered clouds,-18.5067,-54.76,Avendita
376,Kaya,BF,75.07,overcast clouds,13.0917,-1.0844,Hôtel Kaziendé
378,Cap malheureux,MU,77.47,broken clouds,-19.9842,57.6142,Cape Garden
379,Iquique,CL,73.44,few clouds,-20.2208,-70.1431,Hostal Vivar
381,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,Hotel Forum
384,Isla mujeres,MX,82.45,moderate rain,21.2311,-86.731,Villa La Bella
389,Tenkodogo,BF,76.57,broken clouds,11.78,-0.3697,Hôtel Lafi 2*
392,Moron,AR,86.0,clear sky,-34.6534,-58.6198,La Esquina
393,Saltpond,GH,79.95,broken clouds,5.2091,-1.0606,Mapopo Beach Resort
395,Bowen,AU,79.18,few clouds,-20.0167,148.2333,Whitsunday Sands Resort
398,Bakel,SN,82.04,overcast clouds,14.905,-12.4568,Sangacity
401,Faanui,PF,79.66,overcast clouds,-16.4833,-151.75,Oa Oa Lodge
405,Buchanan,LR,79.86,overcast clouds,5.8808,-10.0467,Phillipmena's Guesthouse
406,Abu dhabi,AE,71.96,clear sky,24.4667,54.3667,Marriott Downtown Abu-Dhabi
409,Tomatlan,MX,86.52,clear sky,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
412,Sambava,MG,74.97,broken clouds,-14.2667,50.1667,Royal Sava Hôtel
413,Sao miguel do araguaia,BR,72.3,overcast clouds,-13.275,-50.1628,Hotel São Miguel
418,Dabakala,CI,80.2,overcast clouds,8.3667,-4.4333,Hôtel Résidence les villages
419,Makakilo city,US,73.72,thunderstorm with rain,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
