City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
126,Bethel,US,41.3712,-73.414,37.69,58,100,10.36,overcast clouds
127,East london,ZA,-33.0153,27.9116,67.33,81,99,12.12,light rain
128,Bure,ET,10.7,37.0667,60.64,52,80,3.78,broken clouds
129,Miri,MY,4.4148,114.0089,79.16,94,40,3.44,scattered clouds
130,Samarai,PG,-10.6167,150.6667,81.82,79,87,9.13,overcast clouds
131,Port augusta,AU,-32.5,137.7667,75.27,35,89,10.0,overcast clouds
132,Nikolskoye,RU,59.7035,30.7861,33.69,98,100,6.51,overcast clouds
133,Havelock,US,34.8791,-76.9013,49.95,45,0,3.44,clear sky
134,Bara,NG,10.3744,10.7288,71.92,20,7,8.34,clear sky
135,Mehamn,NO,71.0357,27.8492,33.75,64,75,12.66,broken clouds
136,La ronge,CA,55.1001,-105.2842,-10.95,64,100,12.66,overcast clouds
137,Tura,IN,25.5198,90.2201,59.83,81,36,2.28,scattered clouds
138,Waddan,LY,29.1614,16.139,60.15,75,0,12.71,clear sky
139,Hobyo,SO,5.3505,48.5268,79.0,79,18,20.29,few clouds
140,Fortuna,US,40.5982,-124.1573,52.14,79,0,5.75,clear sky
141,Talcahuano,CL,-36.7167,-73.1167,65.88,52,20,9.22,few clouds
142,Kapaa,US,22.0752,-159.319,69.78,85,100,8.99,light rain
143,Saint anthony,US,45.0205,-93.218,12.65,82,100,8.05,snow
144,Santa rosalia,MX,27.3167,-112.2833,64.02,46,59,9.53,broken clouds
145,Bom jesus,BR,-9.0744,-44.3586,89.89,44,67,2.75,broken clouds
146,Pouebo,NC,-20.4,164.5667,77.81,81,43,3.51,scattered clouds
147,Airai,TL,-8.9266,125.4092,60.91,93,100,1.28,heavy intensity rain
148,Tuatapere,NZ,-46.1333,167.6833,48.24,93,100,3.42,overcast clouds
149,Zhezkazgan,KZ,47.8043,67.7144,10.22,90,5,4.7,clear sky
150,Puerto madryn,AR,-42.7692,-65.0385,72.34,52,94,23.73,overcast clouds
151,Dinajpur,BD,25.6272,88.6386,64.18,64,21,6.33,few clouds
152,Port hawkesbury,CA,45.6169,-61.3485,38.59,98,100,5.99,overcast clouds
153,Mineros,BO,-17.1167,-63.2333,77.32,66,100,1.9,light rain
154,San policarpo,PH,12.1791,125.5072,78.17,86,100,17.76,heavy intensity rain
155,Castro,BR,-24.7911,-50.0119,66.97,82,100,6.42,overcast clouds
156,Cayenne,GF,4.9333,-52.3333,78.84,89,75,6.91,moderate rain
157,New norfolk,AU,-42.7826,147.0587,53.71,67,4,0.94,clear sky
158,Alta floresta,BR,-9.8756,-56.0861,73.04,92,100,3.31,overcast clouds
159,Uppsala,SE,60.0,17.75,33.31,100,75,2.3,light snow
160,Moranbah,AU,-22.0016,148.0466,67.24,76,0,12.33,clear sky
161,Tpig,RU,41.7801,47.589,29.86,88,100,2.39,overcast clouds
162,San patricio,US,28.017,-97.5169,53.47,90,100,14.32,overcast clouds
163,Hovd,MN,48.0056,91.6419,0.9,86,99,2.59,overcast clouds
164,Slonim,BY,53.0867,25.3219,20.91,76,100,13.2,overcast clouds
165,Usinsk,RU,65.9939,57.5281,14.02,88,100,16.69,overcast clouds
166,Camacha,PT,33.0833,-16.3333,65.62,88,75,12.66,broken clouds
167,Kysyl-syr,RU,63.8986,122.7617,-19.88,98,100,6.91,overcast clouds
168,Buraydah,SA,26.326,43.975,57.65,36,0,7.09,clear sky
169,Ygatimi,PY,-24.0833,-55.5,85.57,50,92,4.09,overcast clouds
170,Kaitong,CN,44.8135,123.15,3.52,77,7,3.67,clear sky
171,Darhan,MN,49.4867,105.9228,0.23,98,99,5.03,overcast clouds
172,Darovskoy,RU,58.77,47.9564,-12.08,100,90,3.13,overcast clouds
173,Chokurdakh,RU,70.6333,147.9167,-7.71,100,99,2.24,overcast clouds
174,Kananga,CD,-5.8958,22.4178,65.55,99,88,0.98,overcast clouds
175,The pas,CA,53.8251,-101.2541,-7.58,64,75,8.05,broken clouds
176,Salinopolis,BR,-0.6136,-47.3561,81.97,74,88,10.16,overcast clouds
177,Aykhal,RU,66.0,111.5,-20.83,98,100,7.38,light snow
178,Kamenka,RU,51.3223,42.7678,24.08,87,89,12.12,overcast clouds
179,Boden,SE,65.8252,21.6886,-0.4,96,100,3.6,overcast clouds
